radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,649,1,112,16000,0,17.6853,-19.3505,5349,4,1,1458825826,1693741718,0
GSM,649,1,112,12832,0,17.5176,-19.1092,8201,16,1,1458825826,1735108185,0
GSM,649,1,113,10202,0,17.0865,-22.587,1280,7,1,1458825826,1706765606,0
GSM,649,1,112,16170,0,18.0156,-19.5748,5033,4,1,1443795020,1693748989,0
GSM,649,1,112,16612,0,17.089,-18.5271,12295,12,1,1458825826,1735108170,0
GSM,649,1,112,12282,0,17.7245,-19.2651,2249,6,1,1458825826,1716007157,0
GSM,649,1,113,10103,0,17.0235,-22.5775,4720,14,1,1458825826,1700804341,0
GSM,649,1,112,13500,0,18.4397,-19.2821,13317,4,1,1458825826,1690340554,0
GSM,649,1,112,15351,0,17.5438,-19.1659,7320,8,1,1458825826,1735108199,0
GSM,649,1,113,11911,0,17.08,-22.5754,1000,5,1,1458825827,1706765725,0
GSM,649,1,113,11181,0,17.0993,-22.6,1000,4,1,1458825826,1702359366,0
GSM,649,1,113,17672,0,17.0869,-22.6412,2066,4,1,1458825827,1702359380,0
GSM,649,1,113,14142,0,17.0757,-22.5711,1671,9,1,1458825827,1726548405,0
GSM,649,1,103,16601,0,16.9134,-21.9822,2948,6,1,1458825821,1720070703,0
GSM,649,1,103,19592,0,16.9159,-21.9911,1812,5,1,1458825821,1703309850,0
GSM,649,1,107,12792,0,16.1639,-18.0008,4997,10,1,1458825823,1735108152,0
GSM,649,1,106,13533,0,19.1264,-18.5845,11144,3,1,1458825822,1691804394,0
GSM,649,1,107,12793,0,16.1631,-18.0085,8419,10,1,1458825823,1735108152,0
GSM,649,1,107,12072,0,16.6724,-18.4446,17880,9,1,1458825823,1735108164,0
GSM,649,1,106,12123,0,19.7258,-17.9096,6189,7,1,1458825822,1691798789,0
GSM,649,1,106,19493,0,19.6753,-17.8704,2324,3,1,1440764790,1691798789,0
GSM,649,1,108,13481,0,15.9691,-17.8954,3972,6,1,1458825823,1725601434,0
GSM,649,1,108,12063,0,15.9028,-17.5111,4713,8,1,1437400600,1735108133,0
GSM,649,1,107,19101,0,16.5869,-18.3653,1000,5,1,1458825823,1725601405,0
GSM,649,1,107,20183,0,16.5703,-18.3513,4134,6,1,1458825823,1735108161,0
GSM,649,1,107,12803,0,16.1777,-17.9823,4457,7,1,1458825823,1716611966,0
GSM,649,1,107,19103,0,16.5805,-18.3601,1000,4,1,1458825823,1725601405,0
GSM,649,1,108,20042,0,15.9868,-17.9133,1000,4,1,1458825824,1725601434,0
GSM,649,1,112,12012,0,18.0983,-19.5903,9208,11,1,1458825825,1727065971,0
GSM,649,1,112,12112,0,17.7259,-19.2535,9450,14,1,1458825826,1727065962,0
GSM,649,1,112,11863,0,17.6901,-19.2478,4010,8,1,1458825825,1716698043,0
GSM,649,1,112,12273,0,18.0483,-19.5859,11338,8,1,1445214535,1727065968,0
GSM,649,1,112,16001,0,17.6947,-19.3278,8011,3,1,1458825826,1693741718,0
GSM,649,1,112,13962,0,17.3491,-19.6494,7823,5,1,1458825826,1693743526,0
GSM,649,1,112,16181,0,17.6758,-19.695,1000,2,1,1431447152,1690808264,0
GSM,649,1,112,16610,0,17.1118,-18.5488,18850,13,1,1458825826,1735108172,0
GSM,649,1,112,12352,0,18.2774,-19.4124,4928,3,1,1458825826,1691811190,0
GSM,649,1,113,10633,0,17.0657,-22.5908,3513,21,1,1458825826,1706679581,0
GSM,649,1,112,12131,0,17.5274,-19.1268,2430,3,1,1435118971,1727065959,0
GSM,649,1,112,16611,0,17.0957,-18.5593,18857,12,1,1458825826,1727065950,0
GSM,649,1,112,13501,0,18.4388,-19.2914,4701,4,1,1458825826,1690340554,0
GSM,649,1,112,16172,0,17.9777,-19.824,15176,4,1,1458825826,1716698160,0
GSM,649,1,112,12283,0,17.6636,-19.2352,5394,12,1,1458825826,1727065961,0
GSM,649,1,113,11171,0,17.0795,-22.6147,1325,11,1,1458825826,1706679538,0
GSM,649,1,113,16071,0,17.0834,-22.5975,1000,11,1,1458825827,1726548417,0
GSM,649,1,113,15780,0,17.0987,-22.5941,1596,5,1,1458825827,1706679535,0
GSM,649,1,103,19593,0,16.9117,-21.9882,1000,6,1,1458825821,1720070564,0
GSM,649,1,106,12212,0,20.2207,-17.9159,3811,2,1,1443061280,1691729801,0
GSM,649,1,107,12071,0,16.5654,-18.3487,7968,9,1,1458825823,1735108161,0
GSM,649,1,106,16502,0,20.4407,-17.9528,7088,3,1,1458825822,1690263528,0
GSM,649,1,106,19492,0,19.7312,-17.9279,2608,3,1,1439435460,1691733418,0
GSM,649,1,106,15681,0,21.552,-18.1038,1000,6,1,1458825822,1690256391,0
GSM,649,1,108,13473,0,16.0063,-17.9274,1175,3,1,1458825823,1712032484,0
GSM,649,1,108,12422,0,15.9863,-17.9136,1000,6,1,1458825823,1725601434,0
GSM,649,1,107,13111,0,16.1854,-18.0106,6182,6,1,1458825823,1727065933,0
GSM,649,1,108,12081,0,15.8907,-17.3897,6601,20,1,1458825823,1734763753,0
GSM,649,1,107,15362,0,16.4852,-18.2785,4824,7,1,1458825823,1725601409,0
GSM,649,1,108,12083,0,15.8906,-17.3902,3845,19,1,1430373937,1734763756,0
GSM,649,1,108,18901,0,15.9669,-17.8885,3173,4,1,1458825824,1735108143,0
GSM,649,1,107,13212,0,16.2799,-18.1085,6240,10,1,1458825823,1735108155,0
GSM,649,1,107,15360,0,16.4104,-18.2587,11476,10,1,1458825823,1735108158,0
GSM,649,1,108,19952,0,15.8871,-17.4115,1502,5,1,1445100758,1725601456,0
GSM,649,1,110,10082,0,17.0611,-22.5204,1768,5,1,1458825824,1732781466,0
GSM,649,1,108,19971,0,15.8895,-17.4233,4217,3,1,1455329311,1725857028,0
GSM,649,1,108,19953,0,15.8885,-17.3968,1766,6,1,1442901363,1726290282,0
GSM,649,1,112,12102,0,17.1749,-18.637,7033,11,1,1451730728,1735108175,0
GSM,649,1,112,13522,0,18.8007,-18.9214,10408,2,1,1432000056,1691808015,0
GSM,649,1,112,15752,0,17.7686,-19.279,5028,8,1,1458825826,1735108202,0
GSM,649,1,112,13523,0,18.6459,-19.0857,19257,3,1,1431447152,1691808015,0
GSM,649,1,112,12831,0,17.4156,-18.9812,13463,13,1,1458825826,1735108183,0
GSM,649,1,112,12281,0,17.7172,-19.242,1600,4,1,1458825826,1716007161,0
GSM,649,1,113,10632,0,17.0866,-22.5899,1103,15,1,1458825826,1726548401,0
GSM,649,1,112,13512,0,18.6359,-19.092,11516,4,1,1458825826,1691808915,0
GSM,649,1,112,18123,0,17.9273,-19.6163,3145,3,1,1458825826,1691815234,0
GSM,649,1,112,12830,0,17.4469,-19.0194,8154,18,1,1458825826,1735108183,0
GSM,649,1,112,13511,0,18.5148,-19.2194,8537,3,1,1431447152,1691808915,0
GSM,649,1,112,12810,0,17.0478,-18.5257,10485,10,1,1458825826,1735108170,0
GSM,649,1,113,10102,0,17.0778,-22.577,1000,15,1,1458825826,1706765597,0
GSM,649,1,112,19623,0,17.9362,-19.6098,2159,2,1,1443795030,1691815234,0
GSM,649,1,112,13513,0,18.5339,-19.2,8981,5,1,1458825826,1691808915,0
GSM,649,1,113,10201,0,17.0872,-22.5778,1000,11,1,1458825826,1726548401,0
GSM,649,1,113,15821,0,17.1059,-22.6088,1000,3,1,1423751902,1706679535,0
GSM,649,1,113,17673,0,17.0843,-22.6205,1170,6,1,1458825827,1702445717,0
